province_id,region_id,province,census
01,CA16,Araba/Álava,248453
02,CA08,Albacete,304088
03,CA10,Alicante/Alacant,1220001
04,CA01,Almería,452590
05,CA07,Ávila,132571
06,CA11,Badajoz,548693
07,CA04,"Balears, Illes",748560
08,CA09,Barcelona,3974403
09,CA07,Burgos,284915
10,CA11,Cáceres,335835
11,CA01,Cádiz,968095
12,CA10,Castellón/Castelló,409465
13,CA08,Ciudad Real,396290
14,CA01,Córdoba,635085
15,CA12,"Coruña, A",936602
16,CA08,Cuenca,156086
17,CA09,Girona,496127
18,CA01,Granada,702885
19,CA08,Guadalajara,178745
20,CA16,Gipuzkoa,555416
21,CA01,Huelva,389804
22,CA02,Huesca,167329
23,CA01,Jaén,522170
24,CA07,León,398414
25,CA09,Lleida,299069
26,CA17,"Rioja, La",233085
27,CA12,Lugo,286313
28,CA13,Madrid,4658367
29,CA01,Málaga,1113945
30,CA14,Murcia,1003794
31,CA15,Navarra,478332
32,CA12,Ourense,267702
33,CA03,Asturias,876170
34,CA07,Palencia,137516
35,CA05,"Palmas, Las",798138
36,CA12,Pontevedra,774938
37,CA07,Salamanca,280763
38,CA05,Santa Cruz de Tenerife,733349
39,CA06,Cantabria,464078
40,CA07,Segovia,118503
41,CA01,Sevilla,1501270
42,CA07,Soria,70718
43,CA09,Tarragona,547970
44,CA02,Teruel,105452
45,CA08,Toledo,509327
46,CA10,Valencia/València,1893207
47,CA07,Valladolid,421369
48,CA16,Bizkaia,913239
49,CA07,Zamora,155511
50,CA02,Zaragoza,714366
51,CA18,Ceuta,59213
52,CA19,Melilla,53255
07A,CA04/07,Eivissa-Formentera,96857
073,CA04/07,Mallorca,586223
074,CA04/07,Menorca,65480
351,CA05/35,Fuerteventura,61331
352,CA05/35,Gran Canaria,646824
353,CA05/35,Lanzarote,89983
381,CA05/38,La Gomera,15702
382,CA05/38,El Hierro,8180
383,CA05/38,La Palma,64040
384,CA05/38,Tenerife,645427
